"ID","Canonical_ID"
"UCD___AHI 194HB",421
"UCD___ART 001",422
"UCD___ART 002",423
"UCD___ART 005",424
"UCD___ART 007",425
"UCD___ART 008",426
"UCD___ART 009",427
"UCD___ART 010D",428
"UCD___ART 010F",429
"UCD___ART 011",430
"UCD___ART 012",431
"UCD___ART 024",432
"UCD___ART 030",433
"UCD___ART 101A",434
"UCD___ART 101B",435
"UCD___ART 101C",436
"UCD___ART 101D",437
"UCD___ART 101E",438
"UCD___ART 102A",439
"UCD___ART 102C",440
"UCD___ART 103AN",441
"UCD___ART 103BN",442
"UCD___ART 103C",443
"UCD___ART 105A",444
"UCD___ART 110A",445
"UCD___ART 110B",446
"UCD___ART 110C",447
"UCD___ART 110DA",448
"UCD___ART 110DB",449
"UCD___ART 111A",450
"UCD___ART 111B",451
"UCD___ART 112",452
"UCD___ART 113",453
"UCD___ART 114A",454
"UCD___ART 114B",455
"UCD___ART 114C",456
"UCD___ART 117",457
"UCD___ART 125A",458
"UCD___ART 125B",459
"UCD___ART 125C",460
"UCD___ART 125D",461
"UCD___ART 125E",462
"UCD___ART 129",463
"UCD___ART 138",464
"UCD___ART 142A",465
"UCD___ART 142B",466
"UCD___ART 142C",467
"UCD___ART 142D",468
"UCD___ART 143",469
"UCD___ART 147",470
"UCD___ART 148",367
"UCD___ART 149",471
"UCD___ART 150",472
"UCD___ART 151",473
"UCD___ART 152A",474
"UCD___ART 152B",475
"UCD___ART 152C",476
"UCD___ART 152D",477
"UCD___ART 152E",478
"UCD___ART 152F",479
"UCD___ART 152G",480
"UCD___ART 171",481
"UCD___ART 190",482
"UCD___ASA 001",483
"UCD___ASA 002",484
"UCD___ASA 003",485
"UCD___ASA 004",486
"UCD___ASA 100",487
"UCD___ASA 102",488
"UCD___ASA 112",489
"UCD___ASA 113",490
"UCD___ASA 114",491
"UCD___ASA 115",492
"UCD___ASA 116",493
"UCD___ASA 121",494
"UCD___ASA 130",495
"UCD___ASA 131",496
"UCD___ASA 132",497
"UCD___ASA 141",498
"UCD___ASA 150",499
"UCD___ASA 150B",500
"UCD___ASA 150C",501
"UCD___ASA 150D",502
"UCD___ASA 150E",503
"UCD___ASA 150F",504
"UCD___ASA 155",505
"UCD___ASA 189A",506
"UCD___ASA 189B",507
"UCD___ASA 189C",508
"UCD___ASA 189D",509
"UCD___ASA 189E",510
"UCD___ASA 189F",511
"UCD___ASA 189G",512
"UCD___ASA 189H",513
"UCD___ASA 189I",514
